19891222,-217,-294
19831224,-206,-267
19770110,-200,-222
19960202,-183,-239
19820110,-178,-267
19831223,-178,-211
19831219,-172,-250
19831222,-167,-267
19890204,-167,-206
19790114,-161,-233
19901222,-161,-183
19630123,-156,-233
19890205,-156,-189
19700119,-150,-172
19831221,-150,-183
19891223,-150,-289
20140303,-150,-200
19700118,-144,-200
19760108,-144,-211
19850120,-144,-261
19960118,-144,-167
19970110,-144,-189
19620110,-139,-211
19620119,-139,-167
19660129,-139,-233
19761231,-139,-217
19890203,-139,-228
19901230,-139,-211
19590104,-133,-244
19620120,-133,-217
19700121,-133,-206
19720115,-133,-222
19770129,-133,-211
19820116,-133,-211
19850131,-133,-222
19960203,-133,-233
20100108,-133,-194
20100109,-133,-189
20140107,-133,-233
19510130,-128,-167
19510201,-128,-217
19590103,-128,-167
19631221,-128,-183
19740112,-128,-244
19770111,-128,-222
19831220,-128,-244
19960130,-128,-161
20001211,-128,-156
20140206,-128,-183
19510129,-122,-183
19630119,-122,-194
19680107,-122,-233
19730109,-122,-211
19770117,-122,-189
19790101,-122,-161
19820204,-122,-194
19831225,-122,-250
19930217,-122,-161
19960131,-122,-183
19970112,-122,-189
19990104,-122,-183
20051207,-122,-150
20100103,-122,-194
20140207,-122,-189
19511215,-117,-194
19680103,-117,-189
19730105,-117,-156
19820109,-117,-150
19831218,-117,-194
19880211,-117,-222
19901221,-117,-189
19960106,-117,-172
19960119,-117,-206
19970111,-117,-194
19990107,-117,-139
20030123,-117,-189
20081216,-117,-156
19570126,-111,-150
19611211,-111,-133
19620109,-111,-189
19630112,-111,-222
19700107,-111,-178
19700108,-111,-211
19730106,-111,-167
19740109,-111,-178
19760109,-111,-211
19780109,-111,-178
19820203,-111,-161
19891215,-111,-256
19891216,-111,-217
19940117,-111,-172
19970127,-111,-133
19990103,-111,-161
20001224,-111,-150
20100105,-111,-178
19501206,-106,-194
19540121,-106,-194
19580216,-106,-194
19630127,-106,-217
19710208,-106,-222
19730107,-106,-139
19731231,-106,-211
19740101,-106,-228
19740111,-106,-200
